id,symbol,avg_diff|float,p_val|float,_hprdClass,_expr,_geneLists,gene.firstpart,gene.secondpart,identifier,UCSC_converted
GNPDA1,GNPDA1,0.315051,1.65e-09,Enzyme: Deaminase,BrainSpLMD|10007,OMIM|601798,GNPDA1,,,GNPDA1
TCF7L2,TCF7L2,0.314652,5.46e-05,Transcription factor,"BrainSpLMD|6934;Eurexp|euxassay_019472|lip, mantle layer, mesenchyme, midgut, pancreas, phalanx, skeletal muscle, sternum, stomach, trachea, ventricular layer, vertebral axis muscle system, vibrissa;BrainSpMouseDev|21177","SFARI||Autism, 3 - Suggestive evidence;OMIM|602228;COSMIC||colorectal",TCF7L2,,,TCF7L2
DMTF1,DMTF1,0.314436,0.002194835,Transcription factor,BrainSpLMD|9988,OMIM|608491,DMTF1,,,DMTF1
ERP29,ERP29,0.314337,0.00568416,Chaperone,BrainSpLMD|10961;Eurexp|euxassay_001731|Meckel's cartilage,OMIM|602287,ERP29,,,ERP29
SMN1,SMN1,0.312739,0.000379546,RNA binding protein,"","OMIM|600354;HPO|6606|Adult onset, Areflexia, Areflexia of lower limbs, Atrial septal defect, Autosomal recessive inheritance, Decreased fetal movement, Degeneration of anterior horn cells, EMG abnormality, EMG: neuropathic changes, Hand tremor, Hyporeflexia, Limb fasciculations, Muscle cramps, Muscle weakness, Progressive, Proximal amyotrophy, Proximal muscle weakness, Proximal muscle weakness in lower limbs, Recurrent respiratory infections, Respiratory failure, Slow progression, Spinal muscular atrophy, Tongue fasciculations, Ventricular septal defect",SMN1,,,SMN1
SELK,SELK,0.312261,3.25e-09,"","","",SELK,,,SELK
H3F3C,H3F3C,0.311979,0.000710096,Unclassified,"",OMIM|616134,H3F3C,,,H3F3C
SERBP1,SERBP1,0.311802,0.000782893,RNA binding protein,BrainSpLMD|26135,OMIM|607378,SERBP1,,,SERBP1
RHOB,RHOB,0.311658,4.45e-05,GTPase,"BrainSpLMD|388;Eurexp|euxassay_016450|floor plate, floorplate, mantle layer, marginal layer",OMIM|165370,RHOB,,,RHOB
SERP1,SERP1,0.311565,0.000651045,Integral membrane protein,"BrainSpLMD|27230;Eurexp|euxassay_002193|Meckel's cartilage, incisor, molar, orbito-sphenoid",OMIM|617674,SERP1,,,SERP1
JADE1,JADE1,0.311202,2.11e-06,Unclassified,BrainSpLMD|79960,OMIM|610514,JADE1,,,JADE1
PIH1D1,PIH1D1,0.311084,1.58e-05,Unclassified,BrainSpLMD|55011,OMIM|611480,PIH1D1,,,PIH1D1
PAN3,PAN3,0.311012,1.33e-07,Ribonuclease,BrainSpLMD|255967,OMIM|617448,PAN3,,,PAN3
RAD23B,RAD23B,0.310877,1.77e-05,DNA repair protein,BrainSpLMD|5887,OMIM|600062,RAD23B,,,RAD23B
RNF168,RNF168,0.310788,0.000304721,Transcription regulatory protein,BrainSpLMD|165918,"OMIM|612688;HPO|165918|Abnormal facial shape, Ataxia, Autosomal recessive inheritance, Dry skin, IgG deficiency, Immunodeficiency, Increased sensitivity to ionizing radiation, Mild global developmental delay, Short stature",RNF168,,,RNF168
SNHG15,SNHG15,0.30993,0.001861463,"","","",SNHG15,,,SNHG15
15-Sep,15-Sep,0.309807,0.003792493,"","","",15-Sep,,,15-Sep
CKS1B,CKS1B,0.309361,0.007530363,Cell cycle control protein,"",OMIM|116900,CKS1B,,,CKS1B
EEF1A1P6,EEF1A1P6,0.308855,4.4e-05,"","","",EEF1A1P6,,,EEF1A1P6
HADHA,HADHA,0.307091,8.35e-05,Enzyme: Dehydrogenase,BrainSpLMD|3030,"OMIM|600890;HPO|3030|Abnormality of the amniotic fluid, Autosomal recessive inheritance, Cardiomyopathy, Congestive heart failure, Decreased activity of 3-hydroxyacyl-CoA dehydrogenase, Dilated cardiomyopathy, Elevated hepatic transaminases, Failure to thrive, Generalized hypotonia, Generalized muscle weakness, Global developmental delay, Hepatomegaly, Hydrops fetalis, Hyperammonemia, Hypoglycemia, Hypoketotic hypoglycemia, Lactic acidosis, Muscular hypotonia, Myalgia, Myoglobinuria, Peripheral neuropathy, Pigmentary retinopathy, Prenatal maternal abnormality, Respiratory failure, Rhabdomyolysis, Small for gestational age, Sudden death",HADHA,,,HADHA
SLC20A1,SLC20A1,0.306783,0.000325378,Membrane transport protein,"BrainSpLMD|6574;Eurexp|euxassay_009182|brain, cervical, cervico-thoracic, cortex, dorsal root ganglion, facial VII, glomeruli, glossopharyngeal IX, liver, marginal layer, metanephros, midgut, primitive seminiferous tubules, spinal cord, submandibular gland primordium, thoracic, trigeminal V, vagus X",OMIM|137570,SLC20A1,,,SLC20A1
LDHB,LDHB,0.305085,1.91e-12,Enzyme: Dehydrogenase,BrainSpLMD|3945,OMIM|150100,LDHB,,,LDHB
STOML2,STOML2,0.304862,0.003193146,Membrane transport protein,BrainSpLMD|30968,OMIM|608292,STOML2,,,STOML2
VCP,VCP,0.304841,0.000100565,ATPase,BrainSpLMD|7415,"OMIM|601023;HPO|7415|Abnormal brain FDG positron emission tomography, Abnormal nerve conduction velocity, Abnormality of pelvic girdle bone morphology, Abnormality of the cerebral white matter, Absent Achilles reflex, Aggressive behavior, Alexia, Amyotrophic lateral sclerosis, Anxiety, Apraxia, Arthralgia, Autosomal dominant inheritance, Babinski sign, Back pain, Collectionism, Depressivity, Difficulty climbing stairs, Disinhibition, Distal amyotrophy, Distal muscle weakness, Distal sensory impairment, Dysarthria, Dyscalculia, Dysgraphia, Dyslexia, Dysphasia, Dyspnea, Dystonia, EEG with continuous slow activity, EMG: neuropathic changes, Echolalia, Elevated alkaline phosphatase, Elevated alkaline phosphatase of bone origin, Elevated serum creatine phosphokinase, Emotional blunting, Emotional lability, Fasciculations, Fatigable weakness of respiratory muscles, Fatigable weakness of swallowing muscles, Fatigue, Frontal cortical atrophy, Frontotemporal cerebral atrophy, Frontotemporal dementia, Gait disturbance, Gait imbalance, Generalized muscle weakness, Grammar-specific speech disorder, Hammertoe, Hip pain, Hyperorality, Impaired vibration sensation in the lower limbs, Inappropriate behavior, Irritability, Lack of insight, Limb fasciculations, Limb muscle weakness, Loss of speech, Lower limb hyperreflexia, Lumbar hyperlordosis, Memory impairment, Muscle cramps, Muscle weakness, Myopathy, Neurodegeneration, Pain, Paralysis, Pelvic girdle amyotrophy, Pelvic girdle muscle atrophy, Pelvic girdle muscle weakness, Perseveration, Personality changes, Pes cavus, Poor speech, Progressive, Proximal muscle weakness, Respiratory failure, Restlessness, Restrictive behavior, Rimmed vacuoles, Scapular winging, Shoulder girdle muscle atrophy, Shoulder girdle muscle weakness, Skeletal muscle atrophy, Spastic gait, Spastic paraplegia, Spasticity, Spoken Word Recognition Deficit, Stereotypy, Temporal cortical atrophy, Thickened nuchal skin fold, Tongue fasciculations, Variable expressivity, Xerostomia",VCP,,,VCP
EEF1A1,EEF1A1,0.304657,0,Transcription regulatory protein,BrainSpLMD|1915,OMIM|130590,EEF1A1,,,EEF1A1
UBE2A,UBE2A,0.304611,0.000269859,Ubiquitin proteasome system protein,"BrainSpLMD|7319;Eurexp|euxassay_018835|hypothalamus, mantle layer","OMIM|312180;HPO|7319|Abnormal hair whorl, Aggressive behavior, Almond-shaped palpebral fissure, Broad face, Broad hallux, Broad neck, Deeply set eye, Depressed nasal bridge, Downturned corners of mouth, Dry skin, Echolalia, Hirsutism, Hypointensity of cerebral white matter on MRI, Increased body weight, Intellectual disability, Low posterior hairline, Macrocephaly, Malar flattening, Micropenis, Midface retrusion, Nail dysplasia, Nail dystrophy, Pes planus, Poor speech, Prominent supraorbital ridges, Regional abnormality of skin, Seizures, Short foot, Short neck, Synophrys, Thin vermilion border, Upslanted palpebral fissure, Wide intermamillary distance, Wide mouth, X-linked recessive inheritance",UBE2A,,,UBE2A
RPL10A,RPL10A,0.304399,2.73e-07,Ribosomal subunit,"",OMIM|615660,RPL10A,,,RPL10A
ACTG1,ACTG1,0.303878,0,Structural protein,BrainSpLMD|71,"OMIM|102560;HPO|71|Abnormality of the pinna, Aphasia, Autosomal dominant inheritance, Bilateral sensorineural hearing impairment, Cerebral cortical hemiatrophy, Coarse facial features, Delayed cranial suture closure, Depressed nasal tip, Downslanted palpebral fissures, Dysphasia, Echolalia, Epicanthus, Euryblepharon, Failure to thrive, Feeding difficulties, Full cheeks, Global developmental delay, Growth delay, Heterochromia iridis, Highly arched eyebrow, Hydronephrosis, Hydroureter, Hypertelorism, Intellectual disability, Iris coloboma, Joint stiffness, Large fontanelles, Lissencephaly, Long nose, Long palpebral fissure, Long philtrum, Low posterior hairline, Macrogyria, Microcephaly, Micrognathia, Mutism, Osteochondrosis, Pachygyria, Pointed chin, Polymicrogyria, Progressive sensorineural hearing impairment, Prominent metopic ridge, Prominent nose, Ptosis, Retinoschisis, Retrognathia, Seizures, Short columella, Short neck, Skeletal dysplasia, Specific learning disability, Subcortical cerebral atrophy, Telecanthus, Thin upper lip vermilion, Thin vermilion border, Trigonocephaly, Wide mouth, Wide nasal bridge, Wide nose, Young adult onset",ACTG1,,,ACTG1
SS18,SS18,0.303642,3.55e-06,Transcription regulatory protein,BrainSpLMD|6760,OMIM|600192;COSMIC||synovial sarcoma,SS18,,,SS18
GLUL,GLUL,0.302772,4.37e-07,Enzyme: Aminotransferase,BrainSpLMD|2752;BrainSpMouseDev|14421,"OMIM|138290;HPO|2752|Apnea, Autosomal recessive inheritance, Bradycardia, Brain atrophy, CNS hypomyelination, Depressed nasal bridge, Encephalopathy, Generalized hypotonia, Hyperammonemia, Hyperreflexia, Hypoplasia of the corpus callosum, Low-set ears, Periventricular cysts, Respiratory insufficiency, Seizures, Severe global developmental delay, Skin rash, Subependymal cysts, Ventriculomegaly, Wide nasal bridge",GLUL,,,GLUL
BBIP1,BBIP1,0.301863,0.002348816,"","","OMIM|613605;HPO|92482|Abnormal electroretinogram, Autosomal recessive inheritance, Brachydactyly, Cataract, Cognitive impairment, Hypertension, Hypogonadism, Hypoplasia of penis, Hypoplasia of the ovary, Intellectual disability, Multicystic kidney dysplasia, Nystagmus, Obesity, Pigmentary retinopathy, Postaxial hand polydactyly, Renal insufficiency, Rod-cone dystrophy, Short stature",BBIP1,,,BBIP1
FAF2,FAF2,0.301184,0.000832194,Unclassified,BrainSpLMD|23197;Eurexp|euxassay_007868|embryo,OMIM|616935,FAF2,,,FAF2
PRKAR1A,PRKAR1A,0.301121,0.001683537,Serine/threonine kinase,"BrainSpLMD|5573;Eurexp|euxassay_001469|brain, cervical, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, spinal cord, thoracic, trigeminal V","OMIM|188830;COSMIC||papillary thyroid, myxoma, endocrine, papillary thyroid;HPO|5573|Abnormal form of the vertebral bodies, Abnormal prolactin level, Abnormality of circulating adrenocorticotropin level, Abnormality of female external genitalia, Abnormality of immune system physiology, Abnormality of the eye, Abnormality of the nail, Absent/hypoplastic paranasal sinuses, Accelerated skeletal maturation, Adrenal hyperplasia, Agitation, Anteverted nares, Anxiety, Autism, Autosomal dominant inheritance, Autosomal recessive inheritance, Bacterial endocarditis, Blue irides, Blue nevus, Brachycephaly, Brachydactyly, Broad nasal tip, Broad palm, Bruising susceptibility, Calvarial hyperostosis, Cardiac myxoma, Cerebral venous thrombosis, Cone-shaped epiphyses of the phalanges of the hand, Cone-shaped epiphysis, Congenital craniofacial dysostosis, Congenital hypothyroidism, Congestive heart failure, Cryptorchidism, Decreased circulating ACTH level, Delayed eruption of teeth, Delayed speech and language development, Dental malocclusion, Depressed nasal bridge, Depressed nasal ridge, Depressivity, Diabetes mellitus, Dislocated radial head, Disproportionate short-limb short stature, Easy fatigability, Elevated calcitonin, Elevated circulating parathyroid hormone level, Enlarged polycystic ovaries, Epicanthus, Epiphyseal stippling, Exertional dyspnea, Fatigue, Freckling, Global developmental delay, Growth hormone deficiency, Growth hormone excess, Hearing impairment, Heart murmur, Heterogeneous, Hirsutism, Hydrocephalus, Hyperactivity, Hyperphosphatemia, Hypertelorism, Hypertension, Hypocalcemia, Hypodontia, Hypogonadism, Hypoplasia of the maxilla, Hypoplasia of the nasal bone, Hypoplasia of the radius, Hypoplasia of the ulna, Hypoplastic vertebral bodies, Hypospadias, Increased circulating cortisol level, Increased intracranial pressure, Increased susceptibility to fractures, Increased urinary cortisol level, Intellectual disability, Intrauterine growth retardation, Kyphosis, Long hallux, Malar flattening, Mandibular prognathia, Melanocytic nevus, Menstrual irregularities, Mental deterioration, Micromelia, Midface retrusion, Mild postnatal growth retardation, Mild short stature, Mood changes, Multiple lentigines, Muscle weakness, Myxoid subcutaneous tumors, Narrow vertebral interpedicular distance, Neonatal epiphyseal stippling, Nevus, Non-medullary thyroid carcinoma, Obesity, Onset, Open mouth, Optic atrophy, Osteopenia, Osteoporosis, Papillary thyroid carcinoma, Paradoxical increased cortisol secretion on dexamethasone suppression test, Peripheral Schwannoma, Peripheral neuropathy, Pheochromocytoma, Pigmented micronodular adrenocortical disease, Pituitary adenoma, Pituitary growth hormone cell adenoma, Primary hypercorticolism, Profuse pigmented skin lesions, Pseudohypoparathyroidism, Psychosis, Pulmonic valve myxoma, Red hair, Round face, Schwannoma, Scoliosis, Short metacarpal, Short metatarsal, Short nose, Short palm, Short phalanx of finger, Short stature, Short toe, Skeletal muscle atrophy, Slender build, Specific learning disability, Spinal canal stenosis, Strabismus, Striae distensae, Thin skin, Thyroid adenoma, Thyroid carcinoma, Thyroid follicular hyperplasia, Truncal obesity, Vestibular Schwannoma, Wide nasal bridge",PRKAR1A,,,PRKAR1A
EIF2AK2,EIF2AK2,0.299613,1.67e-11,Serine/threonine kinase,BrainSpLMD|5610,OMIM|176871,EIF2AK2,,,EIF2AK2
PRPF4B,PRPF4B,0.299489,1.99e-06,Serine/threonine kinase,BrainSpLMD|8899;Eurexp|euxassay_005644|embryo,OMIM|602338,PRPF4B,,,PRPF4B
KIF5B,KIF5B,0.298745,1.14e-07,Motor protein,BrainSpLMD|3799;Eurexp|euxassay_019750|olfactory,"OMIM|602809;COSMIC||NSCLC, Spitzoid tumour",KIF5B,,,KIF5B
DNAJC18,DNAJC18,0.29775,0.001543694,Unclassified,"BrainSpLMD|202052;Eurexp|euxassay_012133|Meckel's cartilage, axial skeleton, basioccipital bone, basisphenoid bone, clavicle, femur, fibula, humerus, naris, nasal septum, orbito-sphenoid, otic capsule, pelvic girdle, petrous part, rib, scapula, tibia, turbinate bones","",DNAJC18,,,DNAJC18
ESD,ESD,0.297101,2.44e-05,Enzyme: Esterase,BrainSpLMD|2098,OMIM|133280,ESD,,,ESD
LRRC42,LRRC42,0.296887,5.46e-05,Unclassified,"BrainSpLMD|115353;Eurexp|euxassay_000277|Meckel's cartilage, cranium, dorsal root ganglion, molar, ventral grey horn","",LRRC42,,,LRRC42
PITPNB,PITPNB,0.295834,1.29e-06,Transport/cargo protein,BrainSpLMD|23760;Eurexp|euxassay_012385|thymus primordium,OMIM|606876,PITPNB,,,PITPNB
RP11.436D23.1,RP11.436D23.1,0.295555,1.33e-15,"","","",RP11,436D23,1,RP11-436D23
ZSCAN18,ZSCAN18,0.295464,6.28e-05,Transcription factor,BrainSpLMD|65982,"",ZSCAN18,,,ZSCAN18
C14orf1,C14orf1,0.294851,2.64e-05,"","","",C14orf1,,,C14orf1
TRIM37,TRIM37,0.294165,0.005777826,Ubiquitin proteasome system protein,BrainSpLMD|4591,"OMIM|605073;HPO|4591|Absent frontal sinuses, Astigmatism, Autosomal recessive inheritance, Cachexia, Congestive heart failure, Dental crowding, Depressed nasal bridge, Dolichocephaly, Dysarthria, Frontal bossing, Hepatomegaly, High pitched voice, Hypertelorism, Hypodontia, Hypoplastic frontal sinuses, Intrauterine growth retardation, J-shaped sella turcica, Macrocephaly, Microglossia, Muscular hypotonia, Myocardial fibrosis, Nephroblastoma, Nevus, Pericardial constriction, Pigmentary retinopathy, Reduced tendon reflexes, Short stature, Strabismus, Triangular face, Ventriculomegaly, Weak voice, Wide nasal bridge",TRIM37,,,TRIM37
UFL1,UFL1,0.293693,0.009171025,Unclassified,BrainSpLMD|23376,OMIM|613372,UFL1,,,UFL1
USO1,USO1,0.293504,3.76e-05,Transport/cargo protein,BrainSpLMD|8615,OMIM|603344,USO1,,,USO1
RTFDC1,RTFDC1,0.292635,0.000726944,Unclassified,BrainSpLMD|51507;Eurexp|euxassay_006308|embryo,"",RTFDC1,,,RTFDC1
CBX6,CBX6,0.292309,2.08e-07,DNA binding protein,BrainSpLMD|23466,OMIM|617438,CBX6,,,CBX6
GTF3C6,GTF3C6,0.290551,7.74e-08,Unclassified,BrainSpLMD|112495,OMIM|611784,GTF3C6,,,GTF3C6
VOPP1,VOPP1,0.29001,4.86e-05,Transcription regulatory protein,"BrainSpLMD|81552;Eurexp|euxassay_012572|brain, dorsal root ganglion, facial VII, glossopharyngeal IX, neural retina, spinal cord, trigeminal V, vagus X, vestibulocochlear VIII",OMIM|611915,VOPP1,,,VOPP1
LARP4,LARP4,0.289872,0.000319077,RNA binding protein,BrainSpLMD|113251,"",LARP4,,,LARP4
EIF2S2,EIF2S2,0.289107,9.27e-05,Translation regulatory protein,BrainSpLMD|8894,OMIM|603908,EIF2S2,,,EIF2S2
TMBIM4,TMBIM4,0.288944,4.65e-05,Integral membrane protein;Unclassified,BrainSpLMD|51643;Eurexp|euxassay_009275|embryo,OMIM|616874,TMBIM4,,,TMBIM4
RTCB,RTCB,0.28849,6.31e-05,Unclassified,BrainSpLMD|51493,OMIM|613901,RTCB,,,RTCB
CPSF2,CPSF2,0.288434,0.00646301,RNA binding protein,BrainSpLMD|53981,OMIM|606028,CPSF2,,,CPSF2
PDZD8,PDZD8,0.288093,2.33e-05,Unclassified,BrainSpLMD|118987,OMIM|614235,PDZD8,,,PDZD8
DHRS7,DHRS7,0.288039,7.05e-06,Enzyme: Dehydrogenase,"BrainSpLMD|51635;Eurexp|euxassay_000191|alveolar sulcus, dorsal mesocardium, left atrium, mantle layer, marginal layer, ventricular layer",OMIM|612833,DHRS7,,,DHRS7
TOPORS,TOPORS,0.286935,0.001107785,Ubiquitin proteasome system protein,BrainSpLMD|10210,"OMIM|609507;HPO|10210|Abnormal electroretinogram, Abnormality of retinal pigmentation, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Attenuation of retinal blood vessels, Atypical scarring of skin, Autosomal dominant inheritance, Blindness, Cataract, Conductive hearing impairment, Glaucoma, Hyperinsulinemia, Hypogonadism, Hypoplasia of penis, Intellectual disability, Keratoconus, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Photophobia, Progressive night blindness, Retinal pigment epithelial atrophy, Rod-cone dystrophy, Sensorineural hearing impairment, Visual field defect, Wide nasal bridge",TOPORS,,,TOPORS
HK2,HK2,0.286823,2.06e-05,Enzyme: Phosphotransferase,BrainSpLMD|3099,OMIM|601125,HK2,,,HK2
HNRNPA3,HNRNPA3,0.283891,0.002343085,Ribonucleoprotein,"",OMIM|605372,HNRNPA3,,,HNRNPA3
GNB2L1,GNB2L1,0.283498,2.63e-06,"","","",GNB2L1,,,GNB2L1
RPP14,RPP14,0.282949,0.000144207,Ribonuclease,BrainSpLMD|11102,OMIM|606112,RPP14,,,RPP14
ACO2,ACO2,0.28292,7.46e-05,Enzyme: Hydratase,"BrainSpLMD|50;Eurexp|euxassay_018547|atrium, axial muscle, mantle layer, metanephros, midgut, pancreas, ventral grey horn, ventricle","OMIM|100850;HPO|50|Areflexia, Ataxia, Athetosis, Autosomal recessive inheritance, Cerebellar atrophy, Cerebral cortical atrophy, Demyelinating peripheral neuropathy, Failure to thrive, Generalized hypotonia, Hypoplasia of the corpus callosum, Hyporeflexia, Infantile onset, Intellectual disability, severe, Nystagmus, Optic atrophy, Paracentral scotoma, Progressive microcephaly, Red-green dyschromatopsia, Reduced visual acuity, Retinal dystrophy, Seizures, Severe global developmental delay, Strabismus, Visual impairment",ACO2,,,ACO2
BAI3,BAI3,0.282797,2.26e-05,"","","",BAI3,,,BAI3
MRPS18A,MRPS18A,0.282503,3.69e-05,Ribosomal subunit,BrainSpLMD|55168,OMIM|611981,MRPS18A,,,MRPS18A
CTC.308K20.3,CTC.308K20.3,0.282287,0.000277755,"","","",CTC,308K20,3,CTC-308K20
NUP214,NUP214,0.281627,5.79e-07,Transport/cargo protein,BrainSpLMD|8021,"OMIM|114350;COSMIC||AML, T-ALL;HPO|8021|Acute lymphoblastic leukemia, Polygenic inheritance",NUP214,,,NUP214
CRKL,CRKL,0.281472,0.005217703,Adapter molecule,BrainSpLMD|1399,"OMIM|602007;HPO|1399|Abnormality of earlobe, Absent fingernail, Absent toenail, Clinodactyly of the 5th finger, Deeply set eye, Global developmental delay, Highly arched eyebrow, Intellectual disability, Intrauterine growth retardation, Language impairment, Microcephaly, Neoplasm, Pes planus, Pointed chin, Premature birth, Short stature, Smooth philtrum, Thin upper lip vermilion, Truncus arteriosus, Underdeveloped nasal alae",CRKL,,,CRKL
LINC01158,LINC01158,0.279698,4.11e-15,"","","",LINC01158,,,LINC01158
NMD3,NMD3,0.279544,0.000952538,Unclassified,BrainSpLMD|51068,OMIM|611021,NMD3,,,NMD3
TMEM131,TMEM131,0.279202,0.000446429,Unclassified,Eurexp|euxassay_015895|thymus primordium,OMIM|615659,TMEM131,,,TMEM131
DDX18,DDX18,0.279156,4.61e-05,Transport/cargo protein,BrainSpLMD|8886,OMIM|606355,DDX18,,,DDX18
SMU1,SMU1,0.279092,2.17e-06,Unclassified,BrainSpLMD|55234,"",SMU1,,,SMU1
FAM171B,FAM171B,0.279027,2.87e-10,Integral membrane protein,"BrainSpLMD|165215;Eurexp|euxassay_008581|dorsal root ganglion, glossopharyngeal IX, mantle layer, olfactory, trigeminal V, ventricular layer, vestibulocochlear VIII","",FAM171B,,,FAM171B
GGCT,GGCT,0.278288,2.95e-05,Unclassified,BrainSpLMD|79017,OMIM|137170,GGCT,,,GGCT
CDCA7,CDCA7,0.278164,2.53e-06,Cell cycle control protein,BrainSpLMD|83879,"OMIM|609937;HPO|83879|Abnormality of chromosome stability, Abnormality of neutrophils, Anemia, Autosomal recessive inheritance, Cellular immunodeficiency, Communicating hydrocephalus, Conductive hearing impairment, Cryptorchidism, Decreased antibody level in blood, Depressed nasal bridge, Flat face, Global developmental delay, Hypertelorism, Hypoplastic ischia, Hypospadias, Intellectual disability, Intrauterine growth retardation, Low-set ears, Lymphopenia, Macrocephaly, Malabsorption, Microcephaly, Micrognathia, Polydactyly, Recurrent respiratory infections, Short nose, Short stature, Strabismus",CDCA7,,,CDCA7
MSI1,MSI1,0.278085,2.78e-15,RNA binding protein,BrainSpLMD|4440,OMIM|603328,MSI1,,,MSI1
RPL36,RPL36,0.277618,1.81e-07,Ribosomal subunit,BrainSpLMD|25873,"",RPL36,,,RPL36
PLCB4,PLCB4,0.277522,1.76e-05,GTPase activating protein;Enzyme: Phospholipase,BrainSpLMD|5332;BrainSpMouseDev|18562,"OMIM|600810;HPO|5332|Apnea, Autosomal dominant inheritance, Autosomal recessive inheritance, Cleft at the superior portion of the pinna, Cleft palate, Dental crowding, Dental malocclusion, Hypoplastic superior helix, Low-set ears, Mandibular condyle aplasia, Mandibular condyle hypoplasia, Overfolding of the superior helices, Posteriorly rotated ears, Round face, Snoring, Speech articulation difficulties",PLCB4,,,PLCB4
PTCD3,PTCD3,0.277372,0.004859158,Unclassified,BrainSpLMD|55037,OMIM|614918,PTCD3,,,PTCD3
EEF1A1P9,EEF1A1P9,0.276577,0.000548178,"","","",EEF1A1P9,,,EEF1A1P9
WBP5,WBP5,0.275187,3.28e-06,"","","",WBP5,,,WBP5
PHC3,PHC3,0.274347,3.82e-05,Unclassified,BrainSpLMD|80012,"",PHC3,,,PHC3
FRS2,FRS2,0.274195,1.55e-05,Adapter molecule,BrainSpLMD|10818,OMIM|607743,FRS2,,,FRS2
VIMP,VIMP,0.272064,1.1e-09,"","","",VIMP,,,VIMP
NBPF11,NBPF11,0.271684,4.24e-08,Unclassified,BrainSpLMD|200030,OMIM|614001,NBPF11,,,NBPF11
EIF4G3,EIF4G3,0.271485,9.94e-08,Translation regulatory protein,"BrainSpLMD|8672;Eurexp|euxassay_016776|diencephalon, dorsal root ganglion, facial VII, glossopharyngeal IX, hindbrain, midbrain, neural retina, spinal cord, telencephalon, trigeminal V, vestibulocochlear VIII",OMIM|603929,EIF4G3,,,EIF4G3
ZNF410,ZNF410,0.271289,0.00090857,Transcription factor,BrainSpLMD|57862,"",ZNF410,,,ZNF410
ZC3H12C,ZC3H12C,0.271147,0.000539111,Unclassified,"",OMIM|615001,ZC3H12C,,,ZC3H12C
MTHFD1,MTHFD1,0.27101,0.000434267,Enzyme: Dehydrogenase,"BrainSpLMD|4522;Eurexp|euxassay_004845|axial muscle, fundus, incisor, left, left lung, lumen, molar, oesophagus, pancreas, right, right lung, submandibular gland primordium, thymus primordium, ventricular layer, vibrissa",OMIM|172460,MTHFD1,,,MTHFD1
KTN1,KTN1,0.270986,1.94e-11,Anchor protein,BrainSpLMD|3895,OMIM|600381;COSMIC||papillary thyroid,KTN1,,,KTN1
PSME4,PSME4,0.270955,0.001364627,Ubiquitin proteasome system protein,"BrainSpLMD|23198;Eurexp|euxassay_009612|dorsal root ganglion, facial VII, glossopharyngeal IX, mandible, maxilla, neural retina, olfactory, orbito-sphenoid, submandibular gland primordium, trigeminal V",OMIM|607705,PSME4,,,PSME4
LDB2,LDB2,0.269765,0.004030338,Transcription regulatory protein,BrainSpLMD|9079;BrainSpMouseDev|16597,OMIM|603450,LDB2,,,LDB2
MFAP1,MFAP1,0.269216,0.006920394,Extracellular matrix protein,BrainSpLMD|4236,OMIM|600215,MFAP1,,,MFAP1
TRA2B,TRA2B,0.268744,1.18e-06,RNA binding protein,BrainSpLMD|6434,OMIM|602719,TRA2B,,,TRA2B
SSB,SSB,0.268723,1.1e-11,RNA binding protein,BrainSpLMD|6741,OMIM|109090,SSB,,,SSB
OAZ1,OAZ1,0.26749,0.000442675,Unclassified,BrainSpLMD|4946,OMIM|601579,OAZ1,,,OAZ1
C5orf51,C5orf51,0.267052,1.84e-06,Unclassified,"BrainSpLMD|285636;Eurexp|euxassay_002027|brain, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, spinal cord, thoracic, trigeminal V, vagus X","",C5orf51,,,C5orf51
ROMO1,ROMO1,0.26703,1.71e-05,Unclassified,"","",ROMO1,,,ROMO1
RPL13A,RPL13A,0.266449,3.23e-07,Ribosomal subunit,"","",RPL13A,,,RPL13A
PMPCB,PMPCB,0.266406,1.46e-05,Protease,BrainSpLMD|9512,OMIM|603131,PMPCB,,,PMPCB
ACTBP2,ACTBP2,0.266324,0.002779684,"","","",ACTBP2,,,ACTBP2
EIF4E3,EIF4E3,0.266279,0.003402505,RNA binding protein,"BrainSpLMD|317649;Eurexp|euxassay_007888|neural retina, olfactory, vomeronasal organ",OMIM|609896,EIF4E3,,,EIF4E3
ING3,ING3,0.265376,1.12e-07,Cell cycle control protein,BrainSpLMD|54556,OMIM|607493,ING3,,,ING3
INTS6,INTS6,0.264783,7.99e-07,RNA binding protein,BrainSpLMD|26512,"SFARI||Autism, 2 - Strong candidate;OMIM|604331",INTS6,,,INTS6
CCDC47,CCDC47,0.26434,5.51e-05,Unclassified,BrainSpLMD|57003;Eurexp|euxassay_000833|submandibular gland primordium,"",CCDC47,,,CCDC47
GAPDHP65,GAPDHP65,0.26413,5.66e-05,"","","",GAPDHP65,,,GAPDHP65
